index,observed_label,cluster
526,1,0
2045,0,2
1403,0,3
848,1,0
2500,1,0
95,1,2
2182,0,2
1649,0,0
1871,0,3
2515,0,1
534,0,2
1873,1,1
1324,1,3
2357,1,0
1960,0,0
938,1,2
574,0,2
2594,0,0
2587,1,3
612,1,2
2140,1,0
985,1,1
2435,0,2
2259,1,0
1900,1,0
339,1,0
2797,1,0
2147,0,0
1008,0,1
1937,0,2
1101,0,2
1112,1,0
1090,0,0
143,0,2
343,0,1
2233,1,1
1682,0,1
1134,1,3
77,0,3
1300,1,0
2269,1,1
1543,0,1
852,1,1
503,0,2
68,1,2
1132,1,0
1179,1,0
1721,1,1
532,0,0
806,1,2
2973,0,2
1012,1,2
1520,1,0
1817,0,2
20,0,0
2064,0,1
573,0,1
1483,1,0
2527,0,2
1316,1,0
1375,1,0
1465,0,1
237,0,2
2358,0,2
8,1,3
2044,0,2
2800,1,2
2837,1,0
2453,1,2
631,0,1
1210,0,0
219,1,3
14,1,2
1550,0,0
2024,0,2
943,1,2
2619,1,0
450,0,1
2309,0,0
316,1,1
2698,1,0
819,0,2
1686,1,0
868,0,3
899,1,2
292,1,0
2347,1,2
443,0,0
2651,1,0
1174,0,0
379,1,2
439,0,3
1312,0,2
2360,0,2
1911,0,2
479,0,1
802,0,2
763,1,1
1760,1,3
1398,0,1
1358,0,2
661,0,0
210,0,3
1904,1,2
499,0,3
1159,1,0
2227,1,0
1081,1,0
2552,0,0
314,0,1
388,1,0
1250,0,2
228,1,2
1715,0,1
2595,1,0
2525,1,2
6,1,0
1751,0,1
2407,1,2
1589,0,3
374,0,2
2043,1,0
313,0,2
551,0,2
2019,1,0
125,0,2
100,1,0
1060,1,2
2105,1,0
928,1,0
1968,0,0
2030,1,2
2780,1,2
645,0,3
291,0,3
1536,1,0
2511,0,2
2554,0,0
536,1,1
2006,1,2
1857,0,0
104,0,0
1782,0,3
530,1,0
1534,1,2
2011,1,2
177,1,0
693,0,0
944,0,2
2534,0,0
455,1,2
441,0,0
2691,1,2
457,0,3
676,0,0
437,0,2
2564,0,0
1218,0,1
1931,1,0
2890,0,2
544,0,2
740,0,2
1219,1,1
1114,1,0
1394,1,2
423,0,2
522,1,3
1242,1,2
1926,1,2
1196,0,3
1411,1,1
25,1,2
359,1,3
2060,0,1
2415,0,2
2375,0,2
2452,1,0
335,1,2
1275,1,1
515,0,0
1941,0,2
1847,0,2
2342,0,2
1133,1,0
971,0,2
908,0,0
975,1,2
1142,0,2
646,0,0
1846,0,1
1910,0,0
2109,0,2
835,0,2
2526,0,2
2246,0,1
1984,0,2
173,0,3
1166,0,1
2634,0,2
745,1,2
1228,1,2
229,0,2
2157,0,2
1902,1,1
2405,0,2
1514,0,2
2188,1,1
2689,1,2
2951,0,2
1842,0,0
1683,0,0
2379,1,2
2218,0,2
1613,1,0
1528,1,2
969,0,1
2971,1,0
941,0,2
298,0,1
1784,0,0
1328,0,1
2861,1,1
1899,1,2
858,0,0
216,0,2
2814,1,0
274,1,2
847,0,2
1180,0,2
1462,1,0
587,0,2
607,0,2
2306,1,0
2447,1,2
1479,1,0
78,0,3
1423,1,2
2270,0,2
1620,0,3
837,1,2
1814,0,2
2849,1,0
1704,0,2
75,1,2
74,1,1
2285,1,2
915,1,0
1851,0,1
940,1,0
1720,1,2
1431,0,1
2071,1,2
1296,0,3
1929,1,0
233,0,3
2132,1,0
2001,0,2
1977,1,2
2921,1,3
1557,1,0
2609,1,1
162,1,3
2934,1,1
451,1,3
2972,1,0
72,0,2
719,1,1
1913,0,2
2469,1,0
1676,0,1
2673,1,1
2988,1,2
1238,0,2
195,1,2
1492,1,2
2498,1,0
603,0,0
293,1,2
818,0,1
2125,1,2
533,0,3
2298,0,1
2605,1,2
1876,1,3
1307,1,2
2783,1,2
480,1,1
281,1,2
1022,0,2
349,0,1
715,1,2
2216,1,3
637,0,1
1476,1,0
472,0,2
2652,1,2
2398,0,3
2172,0,2
327,1,0
1745,1,2
2194,1,2
2198,0,2
1710,0,2
2458,0,1
2681,1,2
1976,1,2
351,0,3
1544,0,1
1338,1,1
2882,0,2
663,1,3
1414,0,2
2607,1,3
1121,0,2
1792,1,1
925,1,1
1322,1,0
822,1,2
817,1,1
2717,1,2
1908,0,1
828,0,1
2287,0,2
1677,0,2
1245,1,0
2349,1,1
1378,1,0
1551,1,1
996,1,3
680,0,2
813,0,2
2114,0,2
2142,0,1
820,1,0
608,0,1
2637,0,2
284,1,3
707,1,0
299,0,2
1264,1,0
2302,1,2
893,0,2
1575,1,3
50,1,1
1572,0,1
2042,1,0
1990,0,1
1232,0,0
655,1,3
1671,0,2
1139,0,1
1723,0,2
1779,1,3
1609,1,0
1655,1,0
2602,1,0
844,0,1
1330,1,0
412,0,3
209,0,0
1844,0,2
2868,0,2
1949,0,1
2028,1,2
1839,1,1
1325,1,2
1058,0,0
1128,0,2
1224,1,2
750,0,2
1178,1,0
1490,0,2
901,0,0
1160,1,2
674,1,2
278,1,2
2856,0,2
1497,1,2
2186,1,1
2382,0,2
1284,1,0
1599,1,3
2707,0,2
2023,0,2
1578,1,0
2326,1,1
2568,1,2
1395,0,2
488,0,0
866,0,2
2579,0,2
1972,1,0
246,1,1
2995,0,2
2281,0,0
2189,1,2
19,0,3
1838,1,0
2220,1,0
2082,0,0
253,0,3
1602,1,0
194,0,2
2187,1,2
2200,1,0
710,0,0
597,0,1
895,1,2
242,0,0
2517,1,2
2351,0,0
805,0,3
600,1,0
1791,0,2
1007,0,2
2611,0,0
2460,1,0
27,1,2
271,1,1
1906,0,1
2506,1,2
599,0,0
560,0,0
135,0,3
786,0,3
344,1,1
2715,0,2
1154,0,2
118,0,1
1262,0,3
257,1,3
785,0,1
2084,1,0
2731,1,3
1798,1,2
2895,0,0
1907,1,1
456,1,0
414,0,2
2451,0,2
1047,0,2
614,1,0
1207,1,2
734,0,2
1560,0,1
2310,0,2
1213,0,0
759,1,0
959,0,3
2661,0,2
306,1,0
1103,1,0
948,1,0
1843,0,1
2459,1,3
939,0,2
2516,0,1
378,0,2
1511,0,2
2807,1,0
1327,0,1
1163,0,3
217,0,0
1797,1,2
305,1,0
1294,0,2
2238,0,0
896,1,0
470,0,0
1819,0,2
1532,1,0
325,1,2
1332,1,1
376,0,0
586,0,1
1438,0,2
1650,1,3
371,0,3
449,1,0
889,0,2
105,0,0
1260,0,2
130,0,1
2008,0,2
