rank,train_index,observed_label,ensemble,confident_learning,knn_cc,has_template,crawler_ua,script_ua,user_agent
1,592,1,0.6944948210362081,0.39999999999999997,1.0,True,False,False,Mozilla/5.0 (Linux; Android 16; SM-S711B Build/BP4A.251205.006; wv) AppleWebKit/
2,2091,1,0.6880617880358395,0.8266666666666667,1.0,True,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHT
3,760,1,0.6836605710059946,0.9866666666666666,0.95,True,False,False,Mozilla/5.0 (Linux; Android 13; SM-A136U Build/TP1A.220624.014; wv) AppleWebKit/
4,345,1,0.6822268752835572,0.9866666666666666,0.85,True,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
5,1461,1,0.6813545477307908,1.0,1.0,True,False,False,Mozilla/5.0 (Linux; Android 15; 23100RN82L Build/AP3A.240905.015.A2) AppleWebKit
6,1053,1,0.6759503372978136,0.9199999999999999,1.0,True,False,False,Mozilla/5.0 (Linux; Android 15; moto g06 Build/VVOBS35.78-158-1) AppleWebKit/537
7,2721,1,0.67143311637135,0.9866666666666666,1.0,True,False,False,Mozilla/5.0 (Linux; Android 16; SM-F946U Build/BP4A.251205.006) AppleWebKit/537.
8,1183,1,0.6653812744137966,0.8933333333333333,1.0,True,False,False,Mozilla/5.0 (Linux; Android 16; SM-F721U Build/BP2A.250605.031.A3; wv) AppleWebK
9,734,1,0.6648262845727313,0.9733333333333334,1.0,True,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHT
10,2754,1,0.6641641245555447,0.9866666666666666,1.0,True,False,False,Mozilla/5.0 (Linux; Android 16; SM-S908U Build/BP2A.250605.031.A3; wv) AppleWebK
11,1412,1,0.6577786166557126,0.8,1.0,True,False,False,Mozilla/5.0 (Linux; Android 12; moto g(30) Build/S0RCS32.41-10-19-14; wv) AppleW
12,2384,1,0.6020133778389117,0.8533333333333333,1.0,True,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHT
13,1284,1,0.5548555189110953,0.1333333333333333,1.0,True,False,False,Mozilla/5.0 (Linux; Android 15; 23129RA5FL Build/AQ3A.240829.003; wv) AppleWebKi
14,971,1,0.5025241473985157,0.0,1.0,True,False,False,Mozilla/5.0 (Linux; Android 16; SM-S931U Build/BP4A.251205.006; wv) AppleWebKit/
15,910,0,0.4863911242048366,0.0,0.4,True,False,False,Mozilla/5.0 (Linux; Android 13; 2201116PG Build/TKQ1.221114.001) AppleWebKit/537
16,1947,1,0.4731263286028462,0.0,1.0,True,True,False,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KH
17,779,0,0.4574350713810447,0.0,0.95,True,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
18,2135,0,0.4491731264047863,0.3866666666666667,0.35,True,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, lik"
19,343,1,0.4265374162880855,0.0,0.15,True,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.11 (KHTML, like G"
20,1129,0,0.41176167087824006,0.0,0.75,True,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
21,1812,1,0.39583758019324117,0.0,0.2,True,False,False,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:24.0) Gecko/20100101 Firefox/24.0 Chrom
22,1918,0,0.3892090923656915,0.0,0.75,True,False,False,Mozilla/5.0 (Linux; Android 15; moto g35 5G Build/VUOA35.116-128; wv) AppleWebKi
23,203,1,0.3886680409605938,0.0,0.8,True,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
24,2666,1,0.38635305993411045,0.0,0.3,True,True,False,Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KH
25,66,1,0.3698608391929476,0.0,0.3,True,True,False,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
26,293,1,0.36890951186186,0.0,0.5,False,False,False,Instagram 434.0.0.44.74 Android (33/13; 450dpi; 1080x2400; samsung; SM-G986B; y2
27,1376,1,0.35142674822573866,0.0,0.0,True,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
28,1807,0,0.345651706475716,0.0,0.75,True,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
29,108,1,0.3454854106053331,0.0,0.15,True,True,False,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
30,1398,1,0.34205670443113645,0.0,0.5,False,False,False,"Instagram 434.0.0.28.78 (iPhone18,2; iOS 26_5_1; en_US; en; scale=3.00; 1320x286"
31,161,1,0.341794431887045,0.0,0.3,True,True,False,facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)
32,412,1,0.3382950190237915,0.0,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHT
33,316,1,0.3369997750813176,0.0,0.75,True,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHT
34,2349,1,0.33428255115601463,0.0,0.45,True,False,False,Instagram 434.0.0.44.74 Android (33/13; 440dpi; 1080x2400; Xiaomi/Redmi; 2201117
