source,score,rate,seed,roc_auc,auprc,precision@100,recall@100
outbrain,confident_learning,0.05,42,0.9133404940923738,0.7136698052852398,0.84,0.6
outbrain,knn_raw,0.05,42,0.9275389366272825,0.5356082496354215,0.61,0.4357142857142857
outbrain,knn_cc,0.05,42,0.9112983351235231,0.4881613914398779,0.56,0.4
outbrain,cc_cluster_entropy,0.05,42,0.5215923737916219,0.05542742540178518,0.07,0.05
outbrain,cc_view_instability,0.05,42,0.5097368421052632,0.054396271123699214,0.08,0.05714285714285714
outbrain,centroid_relative_distance,0.05,42,0.756672932330827,0.18086261091763176,0.19,0.1357142857142857
outbrain,ensemble,0.05,42,0.9361922663802362,0.683345025275716,0.71,0.5071428571428571
outbrain,confident_learning,0.1,42,0.9087003968253969,0.7570544692605621,0.94,0.3357142857142857
outbrain,knn_raw,0.1,42,0.9133014455782312,0.6030005082486951,0.81,0.2892857142857143
outbrain,knn_cc,0.1,42,0.9070904195011338,0.5663638180575123,0.74,0.2642857142857143
outbrain,cc_cluster_entropy,0.1,42,0.4855909863945578,0.09599481143049177,0.06,0.02142857142857143
outbrain,cc_view_instability,0.1,42,0.4597406462585034,0.0925737329974862,0.1,0.03571428571428571
outbrain,centroid_relative_distance,0.1,42,0.7466992630385488,0.27369830842166487,0.36,0.12857142857142856
outbrain,ensemble,0.1,42,0.92078231292517,0.7103328527544681,0.92,0.32857142857142857
outbrain,confident_learning,0.2,42,0.8687902582908164,0.7372704992924005,0.95,0.16964285714285715
outbrain,knn_raw,0.2,42,0.888366549744898,0.6950748821463444,0.92,0.16428571428571428
outbrain,knn_cc,0.2,42,0.8796886957908163,0.6702911295163039,0.87,0.15535714285714286
outbrain,cc_cluster_entropy,0.2,42,0.49393255739795916,0.1986660738451888,0.18,0.03214285714285714
outbrain,cc_view_instability,0.2,42,0.4786941964285714,0.1907526293755732,0.15,0.026785714285714284
outbrain,centroid_relative_distance,0.2,42,0.7390058992346938,0.41485208121390155,0.48,0.08571428571428572
outbrain,ensemble,0.2,42,0.8841310586734694,0.7336954464907545,0.95,0.16964285714285715
outbrain,confident_learning,0.05,7,0.9200805585392052,0.721916176992325,0.81,0.5785714285714286
outbrain,knn_raw,0.05,7,0.9242937701396347,0.5651695113420065,0.69,0.4928571428571429
outbrain,knn_cc,0.05,7,0.9049274973147154,0.5344614195715652,0.67,0.4785714285714286
outbrain,cc_cluster_entropy,0.05,7,0.4735499462943072,0.048353005174244464,0.05,0.03571428571428571
outbrain,cc_view_instability,0.05,7,0.474750268528464,0.04794722870962686,0.05,0.03571428571428571
outbrain,centroid_relative_distance,0.05,7,0.8169414607948442,0.4186743132299743,0.47,0.3357142857142857
outbrain,ensemble,0.05,7,0.9243474758324383,0.6555461389863515,0.79,0.5642857142857143
outbrain,confident_learning,0.1,7,0.8937783446712019,0.7243785228818875,0.95,0.3392857142857143
outbrain,knn_raw,0.1,7,0.8956342120181406,0.6167709209607459,0.88,0.3142857142857143
outbrain,knn_cc,0.1,7,0.9068941326530612,0.6128846338930655,0.82,0.29285714285714287
outbrain,cc_cluster_entropy,0.1,7,0.5129946145124716,0.11071343398864919,0.13,0.04642857142857143
outbrain,cc_view_instability,0.1,7,0.5213846371882085,0.10622345197951222,0.14,0.05
outbrain,centroid_relative_distance,0.1,7,0.8154549319727893,0.47203352653547526,0.69,0.24642857142857144
outbrain,ensemble,0.1,7,0.9161082766439909,0.7105667700946086,0.94,0.3357142857142857
outbrain,confident_learning,0.2,7,0.9049629304846938,0.8054430806767696,0.99,0.1767857142857143
outbrain,knn_raw,0.2,7,0.9039018654336736,0.724301392631729,0.92,0.16428571428571428
outbrain,knn_cc,0.2,7,0.8923999521683673,0.6860538637621756,0.9,0.16071428571428573
outbrain,cc_cluster_entropy,0.2,7,0.4792825255102041,0.18664349005776323,0.11,0.019642857142857142
outbrain,cc_view_instability,0.2,7,0.4961360012755102,0.19895946847778137,0.22,0.039285714285714285
outbrain,centroid_relative_distance,0.2,7,0.8187954400510205,0.6188759887705094,0.98,0.175
outbrain,ensemble,0.2,7,0.9108514030612244,0.787941510850163,0.95,0.16964285714285715
