rank,train_index,observed_label,ensemble,confident_learning,knn_cc,has_template,crawler_ua,script_ua,user_agent
1,340,1,0.7110931670488546,0.8933333333333333,1.0,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
2,324,1,0.7044857534435912,0.9733333333333334,0.95,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
3,2349,1,0.6699617414057367,0.7466666666666666,0.95,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
4,1117,1,0.6633330787299333,0.6399999999999999,0.95,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
5,1486,1,0.6562443585391667,0.7466666666666666,1.0,False,False,False,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0"
6,78,1,0.6560196107079611,0.6000000000000001,0.9,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
7,178,1,0.6556444715969709,0.8400000000000001,0.9,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
8,90,1,0.655632723447551,0.6266666666666667,0.75,False,False,False,Mozilla/5.0 (Windows NT 6.1; rv:109.0) Gecko/20100101 Firefox/115.0
9,913,1,0.6453551532222762,0.36000000000000004,0.75,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, lik"
10,1606,1,0.6444989781420678,0.72,0.9,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
11,541,1,0.6431675323340375,0.6000000000000001,0.75,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, lik"
12,2482,1,0.6421204734450735,0.7466666666666666,0.85,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
13,248,1,0.6400862621091199,0.6933333333333334,0.85,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like "
14,2714,1,0.6326921531609179,0.8,0.95,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
15,2500,1,0.6249503257170138,0.7066666666666668,0.9,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
16,2710,1,0.6246934035165111,0.6266666666666667,0.95,False,False,False,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0
17,17,1,0.6229705202017929,0.6666666666666667,0.9,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
18,1710,1,0.6227176670429676,0.5866666666666667,0.8,True,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/14"
19,2734,1,0.6175017516313575,0.6666666666666667,0.85,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
20,2509,1,0.6168370241871478,0.48,0.75,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
21,309,1,0.6124854670832047,0.3866666666666667,0.95,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
