source,score,rate,seed,roc_auc,auprc,precision@100,recall@100
taboola,confident_learning,0.05,42,0.9230088614393126,0.6085444051904924,0.68,0.4857142857142857
taboola,knn_raw,0.05,42,0.9504363587540279,0.527900643736624,0.58,0.4142857142857143
taboola,knn_cc,0.05,42,0.9143649301825995,0.4446387855999183,0.52,0.37142857142857144
taboola,cc_cluster_entropy,0.05,42,0.5342427497314716,0.053368064319510286,0.04,0.02857142857142857
taboola,cc_view_instability,0.05,42,0.5412459720730398,0.05483947962845745,0.03,0.02142857142857143
taboola,centroid_relative_distance,0.05,42,0.7453893662728248,0.24674341835787358,0.31,0.22142857142857142
taboola,ensemble,0.05,42,0.9468555316863587,0.6001535341751718,0.65,0.4642857142857143
taboola,confident_learning,0.1,42,0.9158106575963719,0.6735509477881306,0.78,0.2785714285714286
taboola,knn_raw,0.1,42,0.946203231292517,0.6713379458577899,0.81,0.2892857142857143
taboola,knn_cc,0.1,42,0.899580498866213,0.5395782798585574,0.76,0.2714285714285714
taboola,cc_cluster_entropy,0.1,42,0.5397052154195011,0.11243517008006623,0.12,0.04285714285714286
taboola,cc_view_instability,0.1,42,0.5354251700680273,0.11043003642023061,0.12,0.04285714285714286
taboola,centroid_relative_distance,0.1,42,0.7607426303854876,0.35067815868014746,0.49,0.175
taboola,ensemble,0.1,42,0.9348767006802721,0.6949435388320928,0.81,0.2892857142857143
taboola,confident_learning,0.2,42,0.8977180325255102,0.7577786420696758,0.92,0.16428571428571428
taboola,knn_raw,0.2,42,0.9259080038265306,0.7637473277710713,0.91,0.1625
taboola,knn_cc,0.2,42,0.8623453443877551,0.6272268648305528,0.83,0.14821428571428572
taboola,cc_cluster_entropy,0.2,42,0.49269371811224494,0.19128378173873575,0.12,0.02142857142857143
taboola,cc_view_instability,0.2,42,0.4960299744897959,0.1937769943543945,0.18,0.03214285714285714
taboola,centroid_relative_distance,0.2,42,0.7644148596938776,0.5287361970249091,0.88,0.15714285714285714
taboola,ensemble,0.2,42,0.9097464923469389,0.7505634482820073,0.86,0.15357142857142858
taboola,confident_learning,0.05,7,0.9162150912996777,0.6304199165280432,0.68,0.4857142857142857
taboola,knn_raw,0.05,7,0.9355343716433943,0.532502637629817,0.56,0.4
taboola,knn_cc,0.05,7,0.9139205155746509,0.4363255630699903,0.56,0.4
taboola,cc_cluster_entropy,0.05,7,0.48810687432867883,0.05189964506521029,0.04,0.02857142857142857
taboola,cc_view_instability,0.05,7,0.48968313641245975,0.05078823544371382,0.05,0.03571428571428571
taboola,centroid_relative_distance,0.05,7,0.8253114930182599,0.34449921231311864,0.42,0.3
taboola,ensemble,0.05,7,0.934484425349087,0.5866411421570413,0.6,0.42857142857142855
taboola,confident_learning,0.1,7,0.9100708616780046,0.6922807610024057,0.83,0.29642857142857143
taboola,knn_raw,0.1,7,0.9275283446712019,0.6295322920179923,0.78,0.2785714285714286
taboola,knn_cc,0.1,7,0.8985877267573696,0.550800175658196,0.71,0.25357142857142856
taboola,cc_cluster_entropy,0.1,7,0.5308999433106576,0.11001217599423785,0.09,0.03214285714285714
taboola,cc_view_instability,0.1,7,0.527079081632653,0.11095634643342303,0.1,0.03571428571428571
taboola,centroid_relative_distance,0.1,7,0.8213732993197278,0.4238439444325295,0.61,0.21785714285714286
taboola,ensemble,0.1,7,0.9241751700680272,0.7092731534961879,0.86,0.30714285714285716
taboola,confident_learning,0.2,7,0.8915361926020408,0.7439184074209514,0.93,0.16607142857142856
taboola,knn_raw,0.2,7,0.9206397480867347,0.7259468424953209,0.87,0.15535714285714286
taboola,knn_cc,0.2,7,0.883153698979592,0.6670074164023232,0.86,0.15357142857142858
taboola,cc_cluster_entropy,0.2,7,0.4809095982142857,0.18896673704872438,0.15,0.026785714285714284
taboola,cc_view_instability,0.2,7,0.4951076211734694,0.19887180633665352,0.19,0.033928571428571426
taboola,centroid_relative_distance,0.2,7,0.8324282525510205,0.6033656800266842,0.85,0.15178571428571427
taboola,ensemble,0.2,7,0.910821906887755,0.7562562294962258,0.93,0.16607142857142856
