source,score,rate,seed,roc_auc,auprc,precision@100,recall@100
tiktok,confident_learning,0.05,42,0.9784787862513427,0.8873737678750919,0.91,0.65
tiktok,knn_raw,0.05,42,0.9355974758324382,0.5768642061672261,0.66,0.4714285714285714
tiktok,knn_cc,0.05,42,0.9133163265306123,0.5467967430338896,0.61,0.4357142857142857
tiktok,cc_cluster_entropy,0.05,42,0.5187996777658432,0.05490524272008214,0.05,0.03571428571428571
tiktok,cc_view_instability,0.05,42,0.48390708915145003,0.04851342866856759,0.05,0.03571428571428571
tiktok,centroid_relative_distance,0.05,42,0.8084049409237378,0.20384330018857807,0.24,0.17142857142857143
tiktok,ensemble,0.05,42,0.9630263157894737,0.7572916580633752,0.84,0.6
tiktok,confident_learning,0.1,42,0.9849652777777778,0.9364612914188268,0.99,0.3535714285714286
tiktok,knn_raw,0.1,42,0.9418197278911564,0.687459110797245,0.84,0.3
tiktok,knn_cc,0.1,42,0.9250531462585033,0.6197014187158674,0.79,0.28214285714285714
tiktok,cc_cluster_entropy,0.1,42,0.49120464852607704,0.09660411490873383,0.04,0.014285714285714285
tiktok,cc_view_instability,0.1,42,0.48706349206349203,0.10075065730438754,0.12,0.04285714285714286
tiktok,centroid_relative_distance,0.1,42,0.7953146258503402,0.3330821367444733,0.43,0.15357142857142858
tiktok,ensemble,0.1,42,0.973313492063492,0.8425446007472936,0.93,0.33214285714285713
tiktok,confident_learning,0.2,42,0.9774976084183674,0.9386735233813404,0.98,0.175
tiktok,knn_raw,0.2,42,0.9154328762755101,0.7182236711647888,0.92,0.16428571428571428
tiktok,knn_cc,0.2,42,0.9011367984693877,0.6990931806555727,0.89,0.15892857142857142
tiktok,cc_cluster_entropy,0.2,42,0.48868463010204083,0.19573984319614426,0.18,0.03214285714285714
tiktok,cc_view_instability,0.2,42,0.49601004464285714,0.1975984501219633,0.17,0.030357142857142857
tiktok,centroid_relative_distance,0.2,42,0.8078555484693878,0.5167484349244827,0.67,0.11964285714285715
tiktok,ensemble,0.2,42,0.9592203443877552,0.8749551946101254,0.98,0.175
tiktok,confident_learning,0.05,7,0.978717776584318,0.8830233072924021,0.89,0.6357142857142857
tiktok,knn_raw,0.05,7,0.9400080558539204,0.5147168311017091,0.58,0.4142857142857143
tiktok,knn_cc,0.05,7,0.8948066595059075,0.4432527681946838,0.57,0.40714285714285714
tiktok,cc_cluster_entropy,0.05,7,0.49220998925886145,0.052533767987620425,0.05,0.03571428571428571
tiktok,cc_view_instability,0.05,7,0.46104457572502683,0.04902917653707965,0.08,0.05714285714285714
tiktok,centroid_relative_distance,0.05,7,0.6539634801288936,0.14375280104698857,0.19,0.1357142857142857
tiktok,ensemble,0.05,7,0.966608485499463,0.7514569444272219,0.87,0.6214285714285714
tiktok,confident_learning,0.1,7,0.9866298185941044,0.9392932573972336,0.99,0.3535714285714286
tiktok,knn_raw,0.1,7,0.9289703798185941,0.6713117411609325,0.85,0.30357142857142855
tiktok,knn_cc,0.1,7,0.8780094954648527,0.5173428347893956,0.73,0.26071428571428573
tiktok,cc_cluster_entropy,0.1,7,0.5081660997732426,0.10328338394051323,0.08,0.02857142857142857
tiktok,cc_view_instability,0.1,7,0.4920535714285714,0.09978731094057264,0.11,0.039285714285714285
tiktok,centroid_relative_distance,0.1,7,0.6726403061224491,0.2504690973091038,0.36,0.12857142857142856
tiktok,ensemble,0.1,7,0.9606462585034012,0.8417492104926731,0.97,0.3464285714285714
tiktok,confident_learning,0.2,7,0.9504906728316326,0.895835728774856,1.0,0.17857142857142858
tiktok,knn_raw,0.2,7,0.9181768176020408,0.7490383437551693,0.95,0.16964285714285715
tiktok,knn_cc,0.2,7,0.8649139030612245,0.6035438877311293,0.86,0.15357142857142858
tiktok,cc_cluster_entropy,0.2,7,0.5146014030612245,0.2085824201821826,0.21,0.0375
tiktok,cc_view_instability,0.2,7,0.5260849808673469,0.21536100362113345,0.18,0.03214285714285714
tiktok,centroid_relative_distance,0.2,7,0.6571109693877553,0.3474661654820077,0.51,0.09107142857142857
tiktok,ensemble,0.2,7,0.9331505102040816,0.8407162210856135,0.98,0.175
