rank,train_index,observed_label,ensemble,confident_learning,knn_cc,has_template,crawler_ua,script_ua,user_agent
1,2651,1,0.7609449966678422,0.8266666666666667,0.8,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
2,1744,1,0.7163636292672498,0.5733333333333333,0.65,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
3,1619,0,0.6457401546718454,0.3733333333333333,0.9,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
4,1557,0,0.6435647501873379,0.3466666666666667,0.95,False,False,False,"Mozilla/5.0 (iPad; CPU OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, lik"
5,2445,1,0.6367203755588581,0.8933333333333333,0.9,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
6,2657,1,0.6217816503751941,0.9199999999999999,0.75,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
7,1178,1,0.6170817964563516,0.8133333333333332,0.65,False,False,False,Mozilla/5.0 (Linux; Android 14; Redmi 12C Build/UP1A.231005.007) AppleWebKit/537
8,1716,1,0.6089458838098731,0.8666666666666667,0.85,False,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/14"
9,514,0,0.5942755875127255,0.0,1.0,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
10,2096,1,0.5891344066597383,0.6000000000000001,0.35,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
11,2619,0,0.5851682883338153,0.0,1.0,False,False,False,Mozilla/5.0 (Linux; Android 15; SM-S721B Build/AP3A.240905.015.A2) AppleWebKit/5
12,1641,0,0.5825440321296558,0.0,1.0,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_0_1 like Mac OS X) AppleWebKit/605.1.15 (K
13,521,0,0.5695439022277119,0.0,0.85,False,False,False,Mozilla/5.0 (Linux; Android 16; SM-S928B Build/BP2A.250605.031.A3) AppleWebKit/5
14,2794,1,0.569396644684061,0.6399999999999999,0.65,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
15,1737,0,0.568926173078597,0.14666666666666667,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_1 like Mac OS X) AppleWebKit/605.1.15 (KHT
16,919,1,0.5665187836626274,0.0,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
17,1427,1,0.5648301120298158,0.0,0.7,False,False,False,"Mozilla/5.0 (iPad; CPU OS 26_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, lik"
18,69,1,0.5624061393087154,0.0,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_2 like Mac OS X) AppleWebKit/605.1.15 (K
19,1016,1,0.561901763924105,0.8133333333333332,0.5,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_6 like Mac OS X) AppleWebKit/605.1.15 (KHT
20,661,1,0.5586713549253758,0.8400000000000001,0.6,False,False,False,Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A032M Build/TP1A.220624.014; wv) Appl
21,561,1,0.558071951931277,0.0,0.8,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
22,542,1,0.5556098879608501,0.8133333333333332,0.65,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
23,1048,0,0.5546490519092447,0.0,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
24,227,1,0.5546023177760423,0.5333333333333334,0.7,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (K
25,905,1,0.5543316708976538,0.6799999999999999,0.75,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)"
26,31,0,0.5507695516726926,0.39999999999999997,0.8,False,False,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like "
27,2436,1,0.5469200786705443,0.7066666666666668,0.7,False,False,False,Mozilla/5.0 (Linux; Android 15; Redmi 12 Build/AP3A.240905.015.A2) AppleWebKit/5
28,2115,1,0.5428790140626634,0.6133333333333333,0.6,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
29,1439,1,0.5408534775421449,0.8933333333333333,0.5,False,False,False,Mozilla/5.0 (Linux; Android 14; moto g04s Build/ULAS34.89-208-3; wv) AppleWebKit
30,2650,1,0.5397999187536291,0.5066666666666666,0.6,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
31,2449,1,0.5358625922861386,0.0,0.95,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
32,1702,0,0.534858862037748,0.0,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
33,2380,0,0.5344095473224985,0.0,0.85,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Samsun"
34,500,1,0.5295250111797173,0.0,0.9,False,False,False,Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G980F Bulid/PR1A.200720.012; ) AppleW
35,237,1,0.5258094687851714,0.6000000000000001,0.9,False,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/13"
36,2051,0,0.5236788337988497,0.0,0.95,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHT
37,658,1,0.5213377690002031,0.0,0.75,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (K
38,601,1,0.5193820026345879,0.32,0.8,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Samsun"
39,2284,1,0.516451942228712,0.0,0.7,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_15 like Mac OS X) AppleWebKit/605.1.15 (
40,1523,0,0.5151444960181988,0.0,0.75,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
41,421,0,0.5104085105252508,0.09333333333333332,0.55,False,False,False,com.zhiliaoapp.musically/2024409030 (Linux; U; Android 15; pt_BR; SM-A057M; Buil
42,2598,0,0.5102257060486464,0.0,0.8,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (K
43,1140,0,0.5095652804627666,0.0,0.65,False,False,False,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome"
44,2358,1,0.5078437305211739,0.0,0.75,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
45,2276,1,0.5077512359365676,0.0,0.85,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 26_3 like Mac OS X) AppleWebKit/605.1.15 (KHT
46,1584,0,0.506887111186075,0.0,0.75,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_8 like Mac OS X) AppleWebKit/605.1.15 (K
47,2773,1,0.5043436506849086,0.0,0.65,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
48,1534,1,0.5042248607288524,0.0,0.65,False,False,False,Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHT
