sample_id,observed_label,score_knn_raw,score_knn_cc,score_confident_learning,score_cluster_entropy,score_view_instability,score_cluster_label_mismatch,score_centroid_distance,score_ensemble,headers_raw,request_raw,user_agent,has_template,has_crawler_ua,has_script_ua,heuristic_bot_flag,cl_flag
0,1,0.0,0.0,0.0,1.385671,1e-06,0.22069,-0.282479,0.148545,"{""Host"":""track.sys4dm1nz.lat"",""X-Request-Id"":""77628ec154e114112cba72f9eb186a4d"",""X-Real-Ip"":""2a03:2880:21ff:6::"",""X-Forwarded-For"":""2a03:2880:21ff:6::"",""X-Forwarded-Host"":""track.sys4dm1nz.lat"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2a03:2880:21ff:6::, 172.68.14.185"",""Forwarded"":""for=172.68.14.185"",""Accept-Encoding"":""gzip, br"",""User-Agent"":""facebookexternalhit\/1.1 (+http:\/\/www.facebook.com\/externalhit_uatext",[],facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),False,True,False,True,False
1,0,0.0,0.0,0.0,1.386093,2e-06,0.380032,-0.224343,0.18606,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""54c6b23a3be857aa140f8244763f5437"",""X-Real-Ip"":""2600:1700:1b70:e7d0:4d03:ab55:584e:2d6b"",""X-Forwarded-For"":""2600:1700:1b70:e7d0:4d03:ab55:584e:2d6b"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2600:1700:1b70:e7d0:4d03:ab55:584e:2d6b,2600:1700:1b70:e7d0:4d03:ab55:584e:2d6b, 172.68.14.78"",""Forwarded"":""for=172.68.1","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-5KAuFLh-1205304801-1"",""cpc"":""1.208"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""007bb18946fb03f15b060449","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",False,False,False,False,False
2,0,0.333333,0.466667,0.0,1.385307,1e-06,0.428401,-0.108581,0.310545,"{""Host"":""blog.anti-aging.site"",""X-Request-Id"":""43fbf2065c406b6ec9f73bdcc72a259e"",""X-Real-Ip"":""96.27.49.198"",""X-Forwarded-For"":""96.27.49.198"",""X-Forwarded-Host"":""blog.anti-aging.site"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""96.27.49.198,96.27.49.198, 104.23.254.53"",""Forwarded"":""for=104.23.254.53"",""Sec-Fetch-Site"":""cross-site"",""Sec-Fetch-Mode"":""navigate"",""Accept-Encoding"":""gzip, br"",""Priority"":""u=0, i"",""Cf-Ray"":""9","{""sub1"":""00b66cdac6e3608f7c51efe6ae70769265"",""sub2"":""00983cf7f72427fd999ff988e03243e01d"",""sub3"":""00e24904e6bc54c4c5dd4a4f8e88b88f35"",""sub4"":""009117c7c27498921d0d4017b7987c11e7"",""sub5"":""Dermatologist: The 1 Vitamin You Need If You Have Wrinkles"",""sub6"":""Fox News_Fox News"",""utm_campaign"":""[CP 012] [Vi","Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",False,False,False,False,False
3,0,0.0,0.0,0.0,1.385125,1.2e-05,0.480198,0.167907,0.258348,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""422cca2486eebee18fa911a360d924d3"",""X-Real-Ip"":""2603:7080:98f0:76f0:4c71:39d2:82d4:652a"",""X-Forwarded-For"":""2603:7080:98f0:76f0:4c71:39d2:82d4:652a"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2603:7080:98f0:76f0:4c71:39d2:82d4:652a, 172.71.234.100"",""Forwarded"":""for=172.71.234.100"",""Sec-Fetch-Dest"":""document"",""R","{""src"":""US_dailynewsplanet.com (Dream direct llc)"",""utm_medium"":""http:\/\/dailynewsplanet.com\/"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-S1vXnVq-1205304801-1"",""cpc"":""1.208"",""sub1"":""0078ceaf02e0c370a5fb65917b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36 Edg/147.0.0.0",False,False,False,False,False
4,1,0.0,0.0,0.0,1.385964,2e-06,0.22069,-0.280252,0.165051,"{""Host"":""track.sys4dm1nz.lat"",""X-Request-Id"":""f4e6b35e6a8480d2836e944ce51cab33"",""X-Real-Ip"":""2a03:2880:11ff:6::"",""X-Forwarded-For"":""2a03:2880:11ff:6::"",""X-Forwarded-Host"":""track.sys4dm1nz.lat"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2a03:2880:11ff:6::, 172.70.94.54"",""Forwarded"":""for=172.70.94.54"",""User-Agent"":""facebookexternalhit\/1.1 (+http:\/\/www.facebook.com\/externalhit_uatext.php)"",""Cf-Ray"":""9f5a7da64ef2f0",[],facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),False,True,False,True,False
5,1,0.0,0.0,0.0,1.385566,1e-06,0.519802,-0.2977,0.140456,"{""Host"":""track.sys4dm1nz.lat"",""X-Request-Id"":""cbbd206d2efdfe8cf08c320c04ef9fb8"",""X-Real-Ip"":""2a03:2880:f806:7::"",""X-Forwarded-For"":""2a03:2880:f806:7::"",""X-Forwarded-Host"":""track.sys4dm1nz.lat"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2a03:2880:f806:7::, 172.71.238.23"",""Forwarded"":""for=172.71.238.23"",""Accept-Encoding"":""gzip, br"",""Accept"":""*\/*"",""Cf-Ray"":""9f5a6feae8f08bb8-GRU"",""User-Agent"":""facebookexternalhit\/1.1","{""cwr"":""120247637090510635"",""cname"":""02+%5BCA+019+-+FB%5D+%5BESCALA%5D+%5BCAT%7CABO%5D+%5B1-50-1%5D+%5B02%2F05%5D+002-AD-META-WL-WF-IAS-H1+-+MTCA019"",""domain"":""{{domain}}"",""placement"":""Facebook_Right_Column"",""adset"":""P.+ORG+-+M%"",""fbclid"":""IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeOrAxk8",facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),True,True,False,True,False
6,1,0.0,0.0,0.0,1.385714,2e-06,0.519802,-0.309899,0.145641,"{""Host"":""track.sys4dm1nz.lat"",""X-Request-Id"":""135c4592619ebebd029e2993c2f7a291"",""X-Real-Ip"":""2a03:2880:f806:11::"",""X-Forwarded-For"":""2a03:2880:f806:11::"",""X-Forwarded-Host"":""track.sys4dm1nz.lat"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2a03:2880:f806:11::, 104.22.24.43"",""Forwarded"":""for=104.22.24.43"",""User-Agent"":""facebookexternalhit\/1.1 (+http:\/\/www.facebook.com\/externalhit_uatext.php)"",""Cf-Ray"":""9f5a6c030a4",[],facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php),False,True,False,True,False
7,0,0.266667,0.4,0.0,1.385764,1e-06,0.380032,-0.219294,0.280798,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""1d07b4da43b78f9c12cc88730657e476"",""X-Real-Ip"":""172.249.158.238"",""X-Forwarded-For"":""172.249.158.238"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""172.249.158.238, 172.71.238.233"",""Forwarded"":""for=172.71.238.233"",""Sec-Fetch-Site"":""cross-site"",""Sec-Fetch-Mode"":""navigate"",""Accept-Encoding"":""gzip, br"",""Priority"":""u=0","{""src"":""Wenxuecity (Adnimation)"",""utm_medium"":""Wenxuecity (Adnimation)"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-wD2Uta2-1205304801-1"",""cpc"":""0.280"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""00c3d87","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",False,False,False,False,False
8,1,0.2,0.533333,0.0,1.385771,2e-06,0.619968,0.272352,0.423276,"{""Host"":""blog.anti-aging.site"",""X-Request-Id"":""0e98fcb36a90ce4f6779dcf1b0666678"",""X-Real-Ip"":""108.49.135.233"",""X-Forwarded-For"":""108.49.135.233"",""X-Forwarded-Host"":""blog.anti-aging.site"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""108.49.135.233,108.49.135.233, 172.68.14.178"",""Forwarded"":""for=172.68.14.178"",""X-Threat-Score"":""0"",""Referer"":""https:\/\/www.allfreecopycatrecipes.com\/Sauces-and-Dressings\/Quick-And-Easy-","{""sub1"":""001b7b752d6c21e15b093aebaa22669bfb"",""sub2"":""009d06d11ed383853e08b715d77abfccd2"",""sub3"":""{{publisher_id}}"",""sub4"":""{{section_id}}"",""sub5"":""Dermatologist: The 1 Vitamin You Need If You Have Wrinkles"",""sub6"":""{{publisher_name}}_{{section_name}}"",""utm_campaign"":""[CP 06] [VitaRenew] [Outbrain] -","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15",True,False,False,True,False
9,0,0.266667,0.666667,0.0,1.386039,1e-05,0.480198,0.010908,0.414985,"{""Host"":""blog.anti-aging.site"",""X-Request-Id"":""790243a7a2abbfea57245baccc232571"",""X-Real-Ip"":""2600:4040:1167:bb00:5c96:de26:8b0f:d98f"",""X-Forwarded-For"":""2600:4040:1167:bb00:5c96:de26:8b0f:d98f"",""X-Forwarded-Host"":""blog.anti-aging.site"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""2600:4040:1167:bb00:5c96:de26:8b0f:d98f,2600:4040:1167:bb00:5c96:de26:8b0f:d98f, 172.70.38.243"",""Forwarded"":""for=172.70.38.243"",""Sec-Fetch","{""sub1"":""007a3bdee29c8fb02757fca4b6efa5584b"",""sub2"":""00407c8818926d13851977ad3c5b096456"",""sub3"":""00e24904e6bc54c4c5dd4a4f8e88b88f35"",""sub4"":""00c8e13c1b4dbd08a35b361af495798fcf"",""sub5"":""Dermatologist: The 1 Vitamin You Need If You Have Wrinkles"",""sub6"":""Fox News_Fox News"",""utm_campaign"":""[CP 07] [Vit","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Safari/605.1.15",False,False,False,False,False
