sample_id,observed_label,score_knn_raw,score_knn_cc,score_confident_learning,score_cluster_entropy,score_view_instability,score_cluster_label_mismatch,score_centroid_distance,score_ensemble,headers_raw,request_raw,user_agent,has_template,has_crawler_ua,has_script_ua,heuristic_bot_flag,cl_flag
1376,1,1.0,1.0,0.846667,1.385865,2e-06,0.571599,0.173115,0.756917,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""8baaab96150632b8d21544d7fc573767"",""X-Real-Ip"":""208.127.229.125"",""X-Forwarded-For"":""208.127.229.125"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""208.127.229.125,208.127.229.125, 172.71.238.232"",""Forwarded"":""for=172.71.238.232"",""Sec-Fetch-Dest"":""document"",""Referer"":""https:\/\/paid.outbrain.com\/"",""Priority"":""u=0,","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-XWyfAqa-1205304801-1"",""cpc"":""0.912"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""007bb18946fb03f15b060449","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",False,False,False,False,True
799,1,0.866667,1.0,0.933333,1.385675,1e-05,0.571599,0.143995,0.745121,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""de365a189ca93dd8f40406c6bcfbb484"",""X-Real-Ip"":""165.85.239.198"",""X-Forwarded-For"":""165.85.239.198"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""165.85.239.198, 172.68.14.78"",""Forwarded"":""for=172.68.14.78"",""Sec-Fetch-Dest"":""document"",""Referer"":""https:\/\/paid.outbrain.com\/"",""Priority"":""u=0, i"",""Accept-Language"":""","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-HFYRa7m-1205304801-0"",""cpc"":""1.065"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""007bb18946fb03f15b060449","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",False,False,False,False,True
1561,1,1.0,0.933333,0.6,1.385918,3e-06,0.619968,0.263974,0.731544,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""2f6610b1d1d4fd8cfeb33ba1dd3f8d75"",""X-Real-Ip"":""97.230.108.230"",""X-Forwarded-For"":""97.230.108.230"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""97.230.108.230, 172.71.238.233"",""Forwarded"":""for=172.71.238.233"",""Sec-Fetch-Dest"":""document"",""Referer"":""https:\/\/paid.outbrain.com\/"",""Sec-Fetch-User"":""?1"",""Accept-Langu","{""src"":""diez.hn"",""utm_medium"":""diez.hn (site-wide)"",""utm_content"":""Cardiologist: Strange Fruit Burns Fat..."",""sku"":""004efd1ea2bbec88c753fddd92e96dac3b"",""OutbrainClickId"":""v4-3bNBxQw-1205304801-1"",""cpc"":""0.025"",""sub1"":""004efd1ea2bbec88c753fddd92e96dac3b"",""sub2"":""0099af43634d2dd21b49ae07d07a2c72e8"",""s","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",False,False,False,False,False
379,1,1.0,1.0,0.813333,1.38594,6e-06,0.571599,0.056399,0.730273,"{""Host"":""www.nervehealthlab.com"",""X-Request-Id"":""a18793d61eef4f591e2ca21ec6dbb331"",""X-Real-Ip"":""207.135.196.223"",""X-Forwarded-For"":""207.135.196.223"",""X-Forwarded-Host"":""www.nervehealthlab.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""207.135.196.223,207.135.196.223, 172.71.238.101"",""Forwarded"":""for=172.71.238.101"",""Sec-Fetch-Dest"":""document"",""Referer"":""https:\/\/paid.outbrain.com\/"",""Priority"":""u=0, i"",""Accept-La","{""sub1"":""005ee91c539aa6420567cc45252de9a783"",""sub2"":""0086c7a956959e93b02e8ebaed6ca54ea6"",""sub3"":""0019d475e0b3fb009505edd357327aef7d"",""sub4"":""0095eba9a7989ad797817fb0fe665bd81e"",""sub5"":""What Vitamin Causes Immediate Relief From Nerve Pain?"",""sub6"":""The National Interest"",""utm_campaign"":""{replace}"",""u","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 YaBrowser/24.1.0.0 Safari/537.36",False,False,False,False,True
1411,1,1.0,0.933333,0.753333,1.385628,1e-06,0.571599,0.169493,0.716773,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""df1e9fb8e33055691520ae727a0c8bb3"",""X-Real-Ip"":""165.225.216.225"",""X-Forwarded-For"":""165.225.216.225"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""165.225.216.225,165.225.216.225, 172.71.238.232"",""Forwarded"":""for=172.71.238.232"",""X-Verified-Bot-Category"":""Security"",""Sec-Fetch-Mode"":""navigate"",""Sec-Fetch-Dest"":""doc","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-M66ilcm-1205304801-1"",""cpc"":""1.208"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""00c3d87b90b5e28bb01129f0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",False,False,False,False,True
1603,1,0.866667,0.733333,0.98,1.385337,2.2e-05,0.619968,0.134214,0.708865,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""794150cbac5dc22b0a41c6bb3b3dab0f"",""X-Real-Ip"":""73.78.65.53"",""X-Forwarded-For"":""73.78.65.53"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""73.78.65.53, 172.68.14.79"",""Forwarded"":""for=172.68.14.79"",""Sec-Fetch-Dest"":""document"",""Referer"":""https:\/\/paid.outbrain.com\/"",""Priority"":""u=0, i"",""Accept-Language"":""en"",""Cf-R","{""src"":""Breakington"",""utm_medium"":""Breakington (site-wide)"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-m6EZFkV-1205304801-1"",""cpc"":""0.365"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""007bb18946fb03f15b0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",False,False,False,False,True
1557,1,0.866667,1.0,0.366667,1.38566,1.2e-05,0.571599,0.312011,0.695649,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""e3b03bdd7b07137f428f8026cbc3110e"",""X-Real-Ip"":""170.85.99.20"",""X-Forwarded-For"":""170.85.99.20"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""170.85.99.20, 172.68.14.79"",""Forwarded"":""for=172.68.14.79"",""Sec-Fetch-Mode"":""navigate"",""Sec-Fetch-Dest"":""document"",""Accept-Language"":""en-US,en;q=0.9"",""Accept-Encoding"":""gzip,","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Fruit Burns Fat..."",""sku"":""004efd1ea2bbec88c753fddd92e96dac3b"",""OutbrainClickId"":""v4-YketRZG-1205304801-1"",""cpc"":""1.502"",""sub1"":""004efd1ea2bbec88c753fddd92e96dac3b"",""sub2"":""0099af43634d2dd21b49ae07d07a2c72e8""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",False,False,False,False,False
294,1,0.8,0.8,0.72,1.385768,4e-06,0.571599,0.228559,0.681163,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""b0b8ec355c2d3853333357f37e0b6bfc"",""X-Real-Ip"":""165.225.220.225"",""X-Forwarded-For"":""165.225.220.225"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""165.225.220.225, 162.158.154.158"",""Forwarded"":""for=162.158.154.158"",""Sec-Fetch-Mode"":""navigate"",""Sec-Fetch-Dest"":""document"",""Accept-Language"":""en-US,en;q=0.9"",""Accept-E","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-vipKlNj-1205304801-1"",""cpc"":""1.256"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""007bb18946fb03f15b060449","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",False,False,False,False,True
727,1,0.666667,0.666667,0.633333,1.385891,5.2e-05,0.619968,0.098296,0.671851,"{""Host"":""www.nervehealthlab.com"",""X-Request-Id"":""72565d5c0338f6b582d676df12a3a249"",""X-Real-Ip"":""69.30.77.201"",""X-Forwarded-For"":""69.30.77.201"",""X-Forwarded-Host"":""www.nervehealthlab.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""69.30.77.201,69.30.77.201, 172.71.238.100"",""Forwarded"":""for=172.71.238.100"",""Sec-Fetch-Dest"":""document"",""Referer"":""https:\/\/paid.outbrain.com\/"",""Priority"":""u=0, i"",""Accept-Language"":""en""","{""sub1"":""005ee91c539aa6420567cc45252de9a783"",""sub2"":""0086c7a956959e93b02e8ebaed6ca54ea6"",""sub3"":""006185cb30ce2af49f89a1b9dc78ee9e38"",""sub4"":""000cd3b9a30b7e565467b19c69b5a207a4"",""sub5"":""What Vitamin Causes Immediate Relief From Nerve Pain?"",""sub6"":""Jpost (Jpost)"",""utm_campaign"":""{replace}"",""utm_sourc","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 YaBrowser/24.7.0.0 Safari/537.36",False,False,False,False,False
171,1,0.866667,1.0,0.346667,1.3857,7e-06,0.571599,0.23159,0.665557,"{""Host"":""send.special-offer-health.com"",""X-Request-Id"":""6096c19d2be5c7523ec3df0e79412101"",""X-Real-Ip"":""170.85.103.104"",""X-Forwarded-For"":""170.85.103.104"",""X-Forwarded-Host"":""send.special-offer-health.com"",""X-Forwarded-Port"":""80"",""X-Forwarded-Proto"":""http"",""X-Forwarded-Scheme"":""http"",""X-Scheme"":""http"",""X-Original-Forwarded-For"":""170.85.103.104, 172.68.14.79"",""Forwarded"":""for=172.68.14.79"",""Sec-Fetch-Mode"":""navigate"",""Sec-Fetch-Dest"":""document"",""Accept-Language"":""en-US,en;q=0.9"",""Accept-Encoding"":","{""src"":""shiftnews.com"",""utm_medium"":""shiftnews.com en"",""utm_content"":""Cardiologist: Strange Baking Soda Mix  Burns Fat..."",""sku"":""0078ceaf02e0c370a5fb65917b772d7af3"",""OutbrainClickId"":""v4-uGUYXnK-1205304801-1"",""cpc"":""1.214"",""sub1"":""0078ceaf02e0c370a5fb65917b772d7af3"",""sub2"":""007bb18946fb03f15b060449","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",False,False,False,False,False
