sample_id,observed_label,score_knn_raw,score_knn_cc,score_confident_learning,score_cluster_entropy,score_view_instability,score_cluster_label_mismatch,score_centroid_distance,score_ensemble,headers_raw,request_raw,user_agent,has_template,has_crawler_ua,has_script_ua,heuristic_bot_flag,cl_flag
2454,1,0.9,1.0,0.893333,1.36932,0.004497,0.767213,0.256779,0.837748,"{""host"": ""receba-hoje.work"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""189.113.252.20, 104.23.254.97, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d927d-6aec833b3485d838307b754f"", ""x-real-ip","{""media_type"": ""video"", ""cwr"": ""120248897778250269"", ""cname"": ""NUTRA-BR TESTE CVS A 1-1-x 07/07 CAT"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""a1"", ""adname"": ""Novo anúncio de Vendas"", ""site"": ""fb"", ""ad_id"": ""120248897778260269"", ""re5i078h"": ""0pax7vx1"", ""xid"": ""23ubez1f""","Mozilla/5.0 (Linux; Android 7.1.1; SM-J250M Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/119.0.6045.193 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/436.0.0.35.101;]",True,False,False,True,False
3380,1,0.9,0.95,0.906667,1.344711,0.00282,0.767213,0.261977,0.79124,"{""host"": ""www.equilibriovital.xyz"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""2804:389:7131:739c:1:0:3683:116b, 172.70.140.114, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""8","{""cwr"": ""120249974220900742"", ""cname"": ""600 - CP04 - ED - AD VARIADOS - BID CAP META - CBO 1-4-5 - BM 113 - 06/07 — Cópia"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""01"", ""adname"": ""[ED][BR][OF02][FB] AD 03 V2"", ""site"": ""fb"", ""ad_id"": ""120249974220080742"", ""2zeh33ao"": ""c","Mozilla/5.0 (Linux; Android 14; 2410FPCC5G Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.92 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/557.0.0.59.72;IABMV/1;] FBNV/500",True,False,False,True,True
1426,1,1.0,1.0,0.933333,1.362482,0.000362,0.221053,0.257017,0.78583,"{""host"": ""recetas.panaderiacero.com"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""67.140.53.144, 104.23.254.68, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d9275-39893252186112e21e2d3c50"", ""x","{""utm_source"": ""FB"", ""utm_campaign"": ""CA_26 | ESCALA | EUA | CC|23855502986140793"", ""utm_medium"": ""CJ|23855503021260793"", ""utm_content"": ""CES_24_H3_CP2_ED2 — Cópia|23856029170830793"", ""utm_term"": ""Facebook_Mobile_Feed"", ""xcod"": ""FBhQwK21wXxRCA_26 | ESCALA | EUA | CC|23855502986140793hQwK21wXxRCJ|238","Mozilla/5.0 (Linux; Android 16; SM-S926U Build/BP4A.251205.006; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.192 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/567.1.0.52.74;IABMV/1;]",True,False,False,True,True
1306,1,1.0,0.95,0.946667,1.294325,0.000341,0.767213,0.279447,0.749662,"{""host"": ""www.habitosleves.site"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""186.194.159.200, 172.69.114.49, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id","{""cwr"": ""120251374079810502"", ""cname"": ""144 - CP235 - ED - ESCALA - AD 24 V1 - ABO 1-3-1 - BM 113 - 07/07 — Cópia"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Marketplace"", ""adset"": ""[ED][BR][OF02][FB]  AD 24 V1 — Cópia"", ""adname"": ""[ED][BR][OF02][FB]  AD 24 V1"", ""site"": ""fb"", ""ad_id"": ""12025137","Mozilla/5.0 (Linux; Android 13; 2201116SG Build/TKQ1.221114.001) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.55 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/568.0.0.46.74;IABMV/1;] FBNV/500",True,False,False,True,True
2190,1,0.95,1.0,0.946667,1.36616,0.000142,0.487603,0.04034,0.739745,"{""host"": ""www.maryjamescharleston.com"", ""sec-fetch-mode"": ""navigate"", ""accept-encoding"": ""gzip, br"", ""sec-fetch-dest"": ""document"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8"", ""x-forwarded-for"": ""64.92.50.194, 172.68.14.186, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d928b-3fcfccca53a3070b1ed6ce44"", ""x-real-ip"": ""172.68.14.186"", ""forwarded"": ""for=172.68.14.186"", ""x-forwarded-host"": ""www.maryjamescharlesto","{""cwr"": ""120240811185290373"", ""cname"": ""CBO - Mary & James - US"", ""domain"": ""{{domain}}"", ""placement"": ""Instagram_Reels"", ""adset"": ""Mary & James - Husband Passed - Videos - AI Founder - Batch 1 - 2/22/2026 - Norhanna"", ""adname"": ""New Sales Ad - Copy 3"", ""site"": ""ig"", ""2iksmwxg"": ""zu1wsav4"", ""xid"": ""","Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23F77 Instagram 436.0.0.24.53 (iPhone15,4; iOS 26_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 1005037813) NW/7 Safari/604.1",True,False,False,True,True
2348,1,1.0,1.0,0.88,1.242431,0.000869,0.767213,0.283898,0.731252,"{""host"": ""www.equilibriovital.xyz"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""138.36.175.27, 172.69.114.133, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-i","{""cwr"": ""120249974220900742"", ""cname"": ""600 - CP04 - ED - AD VARIADOS - BID CAP META - CBO 1-4-5 - BM 113 - 06/07 — Cópia"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""04"", ""adname"": ""[ED][BR][OF02][FB] AD 03 V2 - V12"", ""site"": ""fb"", ""ad_id"": ""120249974220090742"", ""2zeh33a","Mozilla/5.0 (Linux; Android 16; SM-A075M Build/BP2A.250605.031.A3) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.55 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/568.0.0.46.74;IABMV/1;] FBNV/500",True,False,False,True,False
776,1,0.9,0.95,0.853333,1.38151,0.000375,0.487603,0.108812,0.731145,"{""host"": ""www.equilibriovital.xyz"", ""sec-fetch-mode"": ""navigate"", ""accept-encoding"": ""gzip, br"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8"", ""sec-fetch-dest"": ""document"", ""x-forwarded-for"": ""2804:214:858e:d815:e4db:31f7:464f:fc63, 172.70.140.115, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d92f3-6363066713790e8c0e142513"", ""x-real-ip"": ""172.70.140.115"", ""forwarded"": ""for=172.70.140.115"", ""x-forwarded-host""","{""cwr"": ""120249974220900742"", ""cname"": ""600 - CP04 - ED - AD VARIADOS - BID CAP META - CBO 1-4-5 - BM 113 - 06/07 — Cópia"", ""domain"": ""{{domain}}"", ""placement"": ""Instagram_Feed"", ""adset"": ""04"", ""adname"": ""[ED][BR][OF02][FB] AD 03 V2 - V12"", ""site"": ""ig"", ""ad_id"": ""120249974220090742"", ""2zeh33ao"": ""c","Mozilla/5.0 (iPhone; CPU iPhone OS 16_7_15 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20H380 Instagram 424.1.0.31.54 (iPhone10,1; iOS 16_7_15; pt_BR; pt; scale=2.00; 750x1334; IABMV/1; 933996394) Safari/604.1",True,False,False,True,False
239,1,1.0,1.0,0.973333,1.218491,0.000116,0.767213,0.306811,0.72591,"{""host"": ""www.habitosleves.site"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""2804:14c:6563:47a3:1ddc:71cc:23b3:24e8, 172.64.222.161, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port""","{""cwr"": ""120249175717520388"", ""cname"": ""127 - CP195 - ED - ESCALA - AD C2 H19, 12 V2 - V5 , 12 V2 - ABO 1-3-1 - BM 113 - 06/07"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""[ED][BR][OF02][FB]   AD 12 V2 - V5 — Cópia"", ""adname"": ""[ED][BR][OF02][FB]   AD 12 V2 - V5"", ""site"":","Mozilla/5.0 (Linux; Android 12; SM-A125M Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.107 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/565.0.0.49.74;IABMV/1;] FBNV/500",True,False,False,True,True
3005,1,0.95,0.95,0.826667,1.320539,0.000244,0.221053,0.201152,0.718862,"{""host"": ""tamorajournal.com"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""pragma"": ""no-cache"", ""cache-control"": ""no-cache"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""2600:1012:b395:47ca:1520:ee87:1308:9974, 104.23.254.89, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""8","{""cwr"": ""120252060578110341"", ""cname"": ""ALEKSA II // CREATIVE TESTING // ABO // 07.03.2026"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""[B800] / W27 / AB /  / Priscilla / Iteration / LFS"", ""adname"": ""[B800] _ W27 _ AB _  _ Priscilla _ Iteration _ LFS - Hook 2"", ""site"": ""f","Mozilla/5.0 (Linux; Android 16; SM-S918U Build/BP4A.251205.006) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.150 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/566.0.0.48.73;IABMV/1;] FBNV/500",True,False,False,True,False
108,1,0.9,0.95,0.866667,1.316794,0.000426,0.221053,0.200666,0.718423,"{""host"": ""tamorajournal.com"", ""sec-fetch-mode"": ""navigate"", ""accept-encoding"": ""gzip, br"", ""sec-fetch-dest"": ""document"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8"", ""x-forwarded-for"": ""2600:1f18:4242:4502:4f2f:4c9f:54ed:fe36, 172.68.14.131, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d92cc-08d6c7fb2909d3f840b7432e"", ""x-real-ip"": ""172.68.14.131"", ""forwarded"": ""for=172.68.14.131"", ""x-forwarded-host"": ""tamor","{""cwr"": ""120246846724580341"", ""cname"": ""ALEKSA // CREATIVE TESTING // ABO // 04.30.2026"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""[B501] / W24 / AB /  / Wife's Letter — Prisoner / Ideation / LFS"", ""adname"": ""[B501] _ W24 _ AB _  _ Wife's Letter — Prisoner _ Ideation _ ","Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23F77 Safari/604.1 [FBAN/FBIOS;FBAV/568.0.0.66.71;FBBV/1009145310;FBDV/iPhone17,1;FBMD/iPhone;FBSN/iOS;FBSV/26.5;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/1013045674;IABMV/1]",True,False,False,True,False
