sample_id,observed_label,score_ensemble,score_knn_raw,score_knn_cc,score_confident_learning,score_cluster_label_mismatch,score_centroid_distance,heuristic_bot_flag,has_template,has_crawler_ua,has_script_ua,cl_flag,user_agent,headers_raw,request_raw
2899,0,0.477478,0.15,0.55,0.0,0.232787,-0.007555,True,True,False,False,False,"Mozilla/5.0 (Linux; Android 16; SM-A356E Build/BP2A.250605.031.A3) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/150.0.7871.55 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/568.0.0.46.74;IABMV/1;]","{""host"": ""ajuda.amor-brasil.org"", ""accept-encoding"": ""gzip, br"", ""sec-fetch-dest"": ""document"", ""sec-fetch-mode"": ""navigate"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""upgrade-insecure-requests"": ""1"", ""x-forwarded-for"": ""177.148.137.97, 172.64.222.87, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d9194-3fd7f65b2bf21de26bafb8e0"", ""x-re","{""utm_source"": ""FB"", ""utm_campaign"": ""TESTE CV 2372 - 07.07 - {CONTA $ 01 BM 86} - EW - 1.1.1 - PRINCIPAL|120245802410720773"", ""utm_medium"": ""Novo conjunto de anúncios de Vendas|120245802410940773"", ""utm_content"": ""CV 2372|120245802410820773"", ""utm_term"": ""Facebook_Mobile_Reels"", ""xcod"": ""FBhQwK21wX"
3100,0,0.466976,0.25,0.85,0.0,0.512397,0.001595,True,True,False,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23F77 Instagram 435.1.0.20.71 (iPhone15,4; iOS 26_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 1002470399) NW/3 Safari/604.1","{""host"": ""www.primemenshealth.men"", ""sec-fetch-mode"": ""navigate"", ""accept-encoding"": ""gzip, br"", ""sec-fetch-dest"": ""document"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8"", ""x-forwarded-for"": ""2600:1700:5290:b7f0:8051:67fc:522e:a3aa, 172.71.239.12, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d929d-5039122e5f3dfc8501d55d75"", ""x-real-ip"": ""172.71.239.12"", ""forwarded"": ""for=172.71.239.12"", ""x-forwarded-host"": ","{""media_type"": ""image"", ""cwr"": ""120250580669580560"", ""cname"": ""01_02.07_[CA02-Omega19 | ED]_[CAT|CBO]_[1-100-1]"", ""domain"": ""{{domain}}"", ""placement"": ""Instagram_Feed"", ""adset"": ""[AD14-AXIOM]_CJ95"", ""adname"": ""AD14-AXIOM"", ""site"": ""ig"", ""ad_id"": ""120250580759690560"", ""xid"": ""872gz2np"", ""sub1"": ""1202"
1511,0,0.45407,0.8,0.9,0.226667,0.232787,-0.142324,True,True,False,False,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""host"": ""ajuda.amorquecuidabrasil.net"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""2804:75c0:1334:5b00:280b:289b:191e:ea1, 172.64.222.89, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d923e-4","{""utm_source"": ""FB"", ""utm_campaign"": ""SKALL CV 347 - 06.07- +19 - {DOLAR02} - EW - 1.1.1|120249279190530282"", ""utm_medium"": ""Novo conjunto de anúncios de Vendas|120249279190250282"", ""utm_content"": ""CV347|120249279190280282"", ""utm_term"": ""Facebook_Mobile_Feed"", ""xcod"": ""FBhQwK21wXxRSKALL CV 347 - 06."
101,0,0.436433,0.35,0.55,0.0,0.232787,0.080077,True,True,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","{""host"": ""chl.corehealthliving.com"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""76.33.111.67,76.33.111.67, 104.23.254.70, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d92e8-3fcd191a1aa087a407","{""media_type"": ""video"", ""cwr"": ""120248729246720673"", ""cname"": ""[01][HT179514 - BMP1014] BM01 | Teste ABO 1-X-3 | CAP 150 | H | 07.07.26"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""00"", ""adname"": ""AD1158_IQ02_C11_E08_868fpkp65_honey"", ""site"": ""fb"", ""xid"": ""tn6x0i6c"", ""sub"
3606,0,0.40979,0.15,0.6,0.0,0.512397,0.017789,True,True,False,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.85 Mobile/15E148 Safari/604.1","{""host"": ""todaylifejournal.com"", ""cookie"": ""_fbc=fb.1.1783467173431.IwY2xjawS6a_RleHRuA2FlbQEwAGFkaWQBqzYmx-ErmnNydGMGYXBwX2lkDzQwOTk2MjYyMzA4NTYwOQABHo0mjh-EN4-gVYgb5GWxPa9vse9VRxUa7yKsiILod-PPhKkPGVasxUM9o51t_aem_1C3Xu9tmIx32MzFkz5tQDg; _fbp=fb.1.1783467173434.307719465250539641; referrer=2600:1002:b085:bb5c:69ee:c411:a820:7aa3:1002:todaylifejournal.com%2Fdaytbib64h; sessid2=sessid2026070723323317; spi_funnel_codename="", ""sec-fetch-dest"": ""document"", ""accept"": ""text/html,application/xhtml+xml,","{""utm_source"": ""FB"", ""utm_campaign"": ""Escala_1-200-1_Criativo1_0607|120249355005080010"", ""utm_medium"": ""Novo conjunto de anúncios de Vendas 3|120249355174030010"", ""utm_content"": ""Novo anúncio de Vendas 3|120249355219870010"", ""utm_term"": ""Facebook_Mobile_Feed"", ""cwr"": ""120249355005080010"", ""cname"": """
1768,0,0.403305,0.05,0.7,0.0,0.778947,0.129798,True,True,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","{""host"": ""recetas.panaderiacero.com"", ""accept-encoding"": ""gzip, br"", ""cookie"": ""_ga=GA1.1.1766485515.1780945092; _ga_C9EVJFDRW8=GS2.1.s1780945092$o1$g1$t1780945166$j60$l0$h527442860"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""sec-fetch-dest"": ""document"", ""x-forwarded-for"": ""2603:6010:7e00:1242:7138:dc98:9dd:9c5b, 104.23.243.12","{""utm_source"": ""FB"", ""utm_campaign"": ""CA_26 | ESCALA | EUA | CC|23855502986140793"", ""utm_medium"": ""CJ|23855503021260793"", ""utm_content"": ""CES_24_H3_CP2_ED2 — Cópia|23856029170830793"", ""utm_term"": ""Facebook_Mobile_Reels"", ""xcod"": ""FBhQwK21wXxRCA_26 | ESCALA | EUA | CC|23855502986140793hQwK21wXxRCJ|23"
3549,0,0.396844,0.55,0.25,0.0,0.512397,-0.051068,True,True,False,False,False,"Mozilla/5.0 (Linux; Android 13; SM-A716U Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/149.0.7827.159 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/567.1.0.52.74;IABMV/1;]","{""host"": ""twr.elevatecoresystem.shop"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""67.2.173.10, 104.23.254.14, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d924b-7ce823926462ed7f6d05765b"", ""x-","{""media_type"": ""video"", ""cwr"": ""120247596574650499"", ""cname"": ""[HT 2577 | CA03] [AL] [T]1-4-4 | 060726 | Mixed product sets"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Mobile_Feed"", ""adset"": ""adset.1"", ""adname"": ""(new)V[[0D[-VSL1 LC GOV35 - V3 K.mp4 v14"", ""site"": ""fb"", ""ad_id"": ""120247596585880"
1761,0,0.394409,0.45,0.4,0.0,0.745478,0.125811,True,True,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36 Edg/150.0.0.0","{""host"": ""twr.elevatecoresystem.shop"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""2605:4a80:2400:4f00:e122:839b:5b14:af91, 172.68.14.188, 138.117.218.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d92de-14","{""media_type"": ""video"", ""cwr"": ""6988226560987"", ""cname"": ""[Blanks - 01] [AL] [T]1-4-4 | 070726 | Mixed product sets"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Desktop_Feed"", ""adset"": ""adset.2"", ""adname"": ""BSV-VSL1 LA C113 H1 V1 JA.mp4 v10"", ""site"": ""fb"", ""ad_id"": ""6988226641787"", ""xid"": ""oc0f5"
580,0,0.389637,0.3,0.75,0.0,0.232787,0.075392,True,True,False,False,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36","{""host"": ""videofans18.fun"", ""sec-fetch-dest"": ""document"", ""accept-encoding"": ""gzip, br"", ""upgrade-insecure-requests"": ""1"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"", ""sec-fetch-mode"": ""navigate"", ""x-forwarded-for"": ""2605:59ca:35dc:7f08:7ed6:d09a:fc34:1890, 172.71.235.97, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d9184-288ca20d22ebf","{""cwr"": ""120250181897000312"", ""cname"": ""C1483 - MA - 1-10-1"", ""domain"": ""{{domain}}"", ""placement"": ""Facebook_Marketplace"", ""adset"": ""CJ — Cópia"", ""adname"": ""1"", ""site"": ""fb"", ""ad_id"": ""120250181939270312"", ""xid"": ""anh24xkb"", ""subid"": ""C1483 - MA - 1-10-1"", ""utm_medium"": ""paid"", ""utm_source"": ""fb"", """
2659,0,0.384848,0.35,0.0,0.0,0.512397,-0.059844,True,True,False,False,False,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/23F77 Instagram 436.0.0.24.53 (iPhone12,1; iOS 26_5; pt_BR; pt; scale=2.00; 828x1792; IABMV/1; 1005037813) Safari/604.1","{""host"": ""inicio.faturanaagora.site"", ""sec-fetch-mode"": ""navigate"", ""accept-encoding"": ""gzip, br"", ""sec-fetch-dest"": ""document"", ""accept"": ""text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8"", ""x-forwarded-for"": ""179.42.40.24, 172.69.39.28, 138.117.219.209"", ""x-forwarded-proto"": ""http"", ""x-forwarded-port"": ""80"", ""x-amzn-trace-id"": ""Root=1-6a4d9157-3c42c53d2e909d807609be6d"", ""x-real-ip"": ""172.69.39.28"", ""forwarded"": ""for=172.69.39.28"", ""x-forwarded-host"": ""inicio.faturanaagora.site"",","{""utm_source"": ""FB"", ""utm_campaign"": ""[CNP] BCP | Teste | D63 | R142|120249923615960048"", ""utm_medium"": ""06 a 10|120249923616040048"", ""utm_content"": ""6|120249923616290048"", ""utm_term"": ""Instagram_Stories"", ""cwr"": ""120249923615960048"", ""cname"": ""[CNP] BCP | Teste | D63 | R142"", ""domain"": ""{{domain}}"""
