score,noise_rate,roc_auc_mean,roc_auc_std,auprc_mean,precision@100_mean
cc_cluster_entropy,0.05,0.5033,0.0016,0.0511,0.045
cc_cluster_entropy,0.2,0.4939,0.0019,0.1986,0.19
cc_cluster_label_mismatch,0.05,0.6134,0.0306,0.0768,0.125
cc_cluster_label_mismatch,0.2,0.5844,0.0368,0.2491,0.315
cc_view_instability,0.05,0.4521,0.0029,0.0476,0.035
cc_view_instability,0.2,0.5004,0.0088,0.1978,0.19
centroid_own_distance,0.05,0.7388,0.0146,0.217,0.225
centroid_own_distance,0.2,0.6714,0.022,0.3936,0.55
centroid_relative_distance,0.05,0.7964,0.0274,0.2885,0.29
centroid_relative_distance,0.2,0.7901,0.0257,0.5534,0.775
confident_learning,0.05,0.9108,0.0103,0.709,0.605
confident_learning,0.2,0.8975,0.0011,0.7881,0.97
ensemble,0.05,0.9306,0.0018,0.6453,0.53
ensemble,0.2,0.9121,0.0065,0.7926,0.98
knn_cc,0.05,0.9207,0.003,0.5085,0.465
knn_cc,0.2,0.8892,0.0028,0.6645,0.845
knn_raw,0.05,0.9194,0.0087,0.4818,0.49
knn_raw,0.2,0.9036,0.0007,0.7105,0.89
