score,noise_rate,seed,roc_auc,auprc,precision@50,recall@50,precision@100,recall@100
confident_learning,0.05,42,0.9210596488349195,0.6908093615065152,0.84,0.4772727272727273,0.59,0.6704545454545454
knn_raw,0.05,42,0.9280952576304562,0.4753760950027955,0.68,0.38636363636363635,0.48,0.5454545454545454
knn_cc,0.05,42,0.9176580789847938,0.5009099717690938,0.74,0.42045454545454547,0.43,0.48863636363636365
cc_cluster_entropy,0.05,42,0.5048271523903292,0.05137910990776636,0.04,0.022727272727272728,0.05,0.056818181818181816
cc_view_instability,0.05,42,0.45501723006235645,0.04517891674133773,0.04,0.022727272727272728,0.02,0.022727272727272728
cc_cluster_label_mismatch,0.05,42,0.6439462312657258,0.07956495476777861,0.1,0.056818181818181816,0.12,0.13636363636363635
centroid_own_distance,0.05,42,0.7533639645553003,0.20607285039073225,0.24,0.13636363636363635,0.17,0.19318181818181818
centroid_relative_distance,0.05,42,0.7690009298763811,0.2660895580242776,0.36,0.20454545454545456,0.25,0.2840909090909091
ensemble,0.05,42,0.9323993545563942,0.614230447283359,0.76,0.4318181818181818,0.51,0.5795454545454546
confident_learning,0.2,42,0.8985357142857142,0.7916041641945066,1.0,0.14285714285714285,0.94,0.26857142857142857
knn_raw,0.2,42,0.9042795918367347,0.7297240972736893,0.94,0.13428571428571429,0.92,0.26285714285714284
knn_cc,0.2,42,0.8863877551020408,0.6669806420863849,0.9,0.12857142857142856,0.84,0.24
cc_cluster_entropy,0.2,42,0.4919591836734694,0.20190639245646252,0.2,0.02857142857142857,0.2,0.05714285714285714
cc_view_instability,0.2,42,0.5091591836734694,0.20048891386703432,0.18,0.025714285714285714,0.19,0.054285714285714284
cc_cluster_label_mismatch,0.2,42,0.6212214285714286,0.25965634906859253,0.28,0.04,0.25,0.07142857142857142
centroid_own_distance,0.2,42,0.6934326530612245,0.42608118770773235,0.76,0.10857142857142857,0.57,0.16285714285714287
centroid_relative_distance,0.2,42,0.7644,0.5294909459335191,0.96,0.13714285714285715,0.81,0.23142857142857143
ensemble,0.2,42,0.9056020408163266,0.7844625338628515,0.98,0.14,0.98,0.28
confident_learning,0.05,7,0.9005579258286839,0.7272532166515815,0.9,0.5113636363636364,0.62,0.7045454545454546
knn_raw,0.05,7,0.9106600754840828,0.4881729865016324,0.7,0.3977272727272727,0.5,0.5681818181818182
knn_cc,0.05,7,0.9237330434306967,0.5161173668493036,0.78,0.4431818181818182,0.5,0.5681818181818182
cc_cluster_entropy,0.05,7,0.5017024942566459,0.050746901938715956,0.02,0.011363636363636364,0.04,0.045454545454545456
cc_view_instability,0.05,7,0.4492260146592276,0.050039840695285435,0.06,0.03409090909090909,0.05,0.056818181818181816
cc_cluster_label_mismatch,0.05,7,0.5828444645006017,0.07407665586526117,0.14,0.07954545454545454,0.13,0.14772727272727273
centroid_own_distance,0.05,7,0.724209605076031,0.227853974566242,0.38,0.2159090909090909,0.28,0.3181818181818182
centroid_relative_distance,0.05,7,0.8238294497319768,0.31085574050802933,0.4,0.22727272727272727,0.33,0.375
ensemble,0.05,7,0.9288302702111366,0.6764078873330649,0.92,0.5227272727272727,0.55,0.625
confident_learning,0.2,7,0.896419387755102,0.7845886070944399,1.0,0.14285714285714285,1.0,0.2857142857142857
knn_raw,0.2,7,0.9028367346938775,0.6912983859726679,0.92,0.13142857142857142,0.86,0.24571428571428572
knn_cc,0.2,7,0.8919387755102042,0.6619432132392093,0.96,0.13714285714285715,0.85,0.24285714285714285
cc_cluster_entropy,0.2,7,0.4957979591836734,0.19525946859018894,0.1,0.014285714285714285,0.18,0.05142857142857143
cc_view_instability,0.2,7,0.49159387755102035,0.19514652589477993,0.18,0.025714285714285714,0.19,0.054285714285714284
cc_cluster_label_mismatch,0.2,7,0.5475928571428571,0.2385492562548745,0.46,0.06571428571428571,0.38,0.10857142857142857
centroid_own_distance,0.2,7,0.649430612244898,0.3611792938426567,0.66,0.09428571428571429,0.53,0.15142857142857144
centroid_relative_distance,0.2,7,0.8157510204081633,0.577262390438975,0.88,0.12571428571428572,0.74,0.21142857142857144
ensemble,0.2,7,0.9186102040816326,0.8008342879535468,1.0,0.14285714285714285,0.98,0.28
